video,file,label,original,frame,fold,dataset
00000,250_0.png,0,00000,250,2,celebdf
00001,350_0.png,0,00001,350,2,celebdf
id0_id1_0009,110_0.png,1,id0_0009,110,1,celebdf
00001,380_0.png,0,00001,380,2,celebdf
00000,90_0.png,0,00000,90,2,celebdf
00001,390_0.png,0,00001,390,2,celebdf
00000,310_0.png,0,00000,310,2,celebdf
id0_id1_0007,170_0.png,1,id0_0007,170,1,celebdf
id0_id1_0009,190_0.png,1,id0_0009,190,1,celebdf
00000,190_0.png,0,00000,190,2,celebdf
id0_id1_0007,120_0.png,1,id0_0007,120,2,celebdf
id0_id1_0009,150_0.png,1,id0_0009,150,2,celebdf
id0_id1_0007,290_0.png,1,id0_0007,290,2,celebdf
id0_id1_0009,20_0.png,1,id0_0009,20,2,celebdf
00000,400_0.png,0,00000,400,2,celebdf
00000,270_0.png,0,00000,270,2,celebdf
00001,80_0.png,0,00001,80,2,celebdf
00001,320_0.png,0,00001,320,2,celebdf
00001,180_0.png,0,00001,180,2,celebdf
00000,200_0.png,0,00000,200,2,celebdf
id0_id1_0007,260_0.png,1,id0_0007,260,2,celebdf
id0_id1_0007,190_0.png,1,id0_0007,190,2,celebdf
id0_id1_0009,410_0.png,1,id0_0009,410,2,celebdf
id0_id1_0009,0_0.png,1,id0_0009,0,2,celebdf
id0_id1_0009,270_0.png,1,id0_0009,270,2,celebdf
id0_id1_0009,490_0.png,1,id0_0009,490,2,celebdf
id0_id1_0007,90_0.png,1,id0_0007,90,2,celebdf
00000,370_0.png,0,00000,370,2,celebdf
00000,60_0.png,0,00000,60,2,celebdf
00001,270_0.png,0,00001,270,2,celebdf
id0_id1_0007,330_0.png,1,id0_0007,330,2,celebdf
00001,410_0.png,0,00001,410,3,celebdf
id0_id1_0009,120_0.png,1,id0_0009,120,2,celebdf
id0_id1_0007,110_0.png,1,id0_0007,110,2,celebdf
id0_id1_0009,130_0.png,1,id0_0009,130,2,celebdf
00001,400_0.png,0,00001,400,3,celebdf
id0_id1_0009,260_0.png,1,id0_0009,260,2,celebdf
id0_id1_0009,310_0.png,1,id0_0009,310,2,celebdf
id0_id1_0007,470_0.png,1,id0_0007,470,2,celebdf
00001,210_0.png,0,00001,210,3,celebdf
id0_id1_0007,80_0.png,1,id0_0007,80,2,celebdf
id0_id1_0007,340_0.png,1,id0_0007,340,2,celebdf
id0_id1_0007,400_0.png,1,id0_0007,400,3,celebdf
00001,310_0.png,0,00001,310,3,celebdf
id0_id1_0007,370_0.png,1,id0_0007,370,3,celebdf
id0_id1_0007,140_0.png,1,id0_0007,140,3,celebdf
id0_id1_0009,420_0.png,1,id0_0009,420,3,celebdf
00000,20_0.png,0,00000,20,3,celebdf
id0_id1_0007,410_0.png,1,id0_0007,410,3,celebdf
id0_id1_0007,20_0.png,1,id0_0007,20,3,celebdf
id0_id1_0009,370_0.png,1,id0_0009,370,3,celebdf
00000,380_0.png,0,00000,380,3,celebdf
id0_id1_0007,360_0.png,1,id0_0007,360,3,celebdf
00000,420_0.png,0,00000,420,3,celebdf
id0_id1_0009,320_0.png,1,id0_0009,320,3,celebdf
id0_id1_0007,350_0.png,1,id0_0007,350,3,celebdf
id0_id1_0009,170_0.png,1,id0_0009,170,3,celebdf
00001,220_0.png,0,00001,220,3,celebdf
id0_id1_0007,210_0.png,1,id0_0007,210,3,celebdf
00001,190_0.png,0,00001,190,3,celebdf
id0_id1_0007,420_0.png,1,id0_0007,420,3,celebdf
id0_id1_0007,250_0.png,1,id0_0007,250,3,celebdf
00001,60_0.png,0,00001,60,3,celebdf
00000,80_0.png,0,00000,80,3,celebdf
id0_id1_0009,380_0.png,1,id0_0009,380,3,celebdf
id0_id1_0009,430_0.png,1,id0_0009,430,3,celebdf
00000,350_0.png,0,00000,350,3,celebdf
00000,140_0.png,0,00000,140,3,celebdf
00001,370_0.png,0,00001,370,3,celebdf
id0_id1_0009,180_0.png,1,id0_0009,180,3,celebdf
id0_id1_0009,90_0.png,1,id0_0009,90,3,celebdf
id0_id1_0009,10_0.png,1,id0_0009,10,3,celebdf
00001,250_0.png,0,00001,250,3,celebdf
id0_id1_0009,460_0.png,1,id0_0009,460,3,celebdf
id0_id1_0007,430_0.png,1,id0_0007,430,4,celebdf
00000,10_0.png,0,00000,10,3,celebdf
00000,30_0.png,0,00000,30,3,celebdf
00001,40_0.png,0,00001,40,4,celebdf
id0_id1_0009,220_0.png,1,id0_0009,220,4,celebdf
00000,300_0.png,0,00000,300,4,celebdf
id0_id1_0009,360_0.png,1,id0_0009,360,4,celebdf
00000,160_0.png,0,00000,160,4,celebdf
id0_id1_0007,40_0.png,1,id0_0007,40,4,celebdf
00001,230_0.png,0,00001,230,4,celebdf
00000,70_0.png,0,00000,70,4,celebdf
00000,330_0.png,0,00000,330,4,celebdf
00001,260_0.png,0,00001,260,4,celebdf
id0_id1_0007,310_0.png,1,id0_0007,310,4,celebdf
00000,130_0.png,0,00000,130,4,celebdf
00001,170_0.png,0,00001,170,4,celebdf
id0_id1_0007,280_0.png,1,id0_0007,280,4,celebdf
id0_id1_0009,30_0.png,1,id0_0009,30,4,celebdf
00001,10_0.png,0,00001,10,4,celebdf
id0_id1_0009,450_0.png,1,id0_0009,450,4,celebdf
00001,110_0.png,0,00001,110,4,celebdf
id0_id1_0007,300_0.png,1,id0_0007,300,4,celebdf
id0_id1_0007,50_0.png,1,id0_0007,50,4,celebdf
id0_id1_0007,30_0.png,1,id0_0007,30,4,celebdf
id0_id1_0007,100_0.png,1,id0_0007,100,4,celebdf
00001,340_0.png,0,00001,340,4,celebdf
id0_id1_0007,460_0.png,1,id0_0007,460,4,celebdf
id0_id1_0007,450_0.png,1,id0_0007,450,4,celebdf
00000,320_0.png,0,00000,320,4,celebdf
id0_id1_0009,240_0.png,1,id0_0009,240,4,celebdf
00001,160_0.png,0,00001,160,4,celebdf
00001,50_0.png,0,00001,50,4,celebdf
id0_id1_0009,350_0.png,1,id0_0009,350,4,celebdf
id0_id1_0007,240_0.png,1,id0_0007,240,4,celebdf
00001,0_0.png,0,00001,0,4,celebdf
id0_id1_0009,70_0.png,1,id0_0009,70,4,celebdf
id0_id1_0007,60_0.png,1,id0_0007,60,4,celebdf
00000,100_0.png,0,00000,100,4,celebdf
id0_id1_0007,180_0.png,1,id0_0007,180,4,celebdf
